hcp_id,specialty,practice_type,region,base_sales,engagement_score,innovation_score,calls,treatment,sales
35,Neurology,Hospital,Urban,107.2463000232162,0.9451175288873361,0.8626032850019429,3,1,111.79780936417501
36,Endocrinology,Academic,Urban,104.53638178508088,0.20607025242062282,0.2835917663288866,3,1,106.63160613717119
37,Endocrinology,Academic,Semi-Urban,100.17683544709767,0.3822307080175047,0.9152433100276822,3,1,97.6218927860966
38,Cardiology,Private,Semi-Urban,88.66873966048806,0.025154129823113158,0.46290768840471663,0,0,95.74864099434176
39,Endocrinology,Hospital,Semi-Urban,145.44362905329535,0.7635397350913864,0.6470700185389826,4,1,148.71164893348035
40,Cardiology,Hospital,Semi-Urban,94.03338319503824,0.9151412362549867,0.26440771405595076,4,1,103.84770337021607
41,Endocrinology,Hospital,Semi-Urban,82.69773273062434,0.23782064727649188,0.15601381602353792,3,1,94.55963791374514
42,Endocrinology,Academic,Urban,101.08854550420267,0.4289951106401645,0.8694569406580492,4,1,107.52992874294928
43,Cardiology,Hospital,Urban,96.38117907377764,0.12211262136599399,0.10950618052016392,7,1,85.71136501034793
44,Cardiology,Academic,Rural,93.5697438316702,0.45683543031289076,0.7740213057670227,2,0,87.7492312050758
45,Endocrinology,Hospital,Rural,137.4855218121197,0.1333424636440954,0.5809843060768575,2,0,139.58280118855194
46,Neurology,Hospital,Rural,77.40504363990786,0.5233484944191521,0.8611377816788489,2,0,74.05303622034255
47,Cardiology,Private,Rural,100.74874137587412,0.7346220404322331,0.7178184120981771,3,1,113.92615019599148
48,Neurology,Hospital,Urban,78.74653950142977,0.5533427748141682,0.2816641021115418,3,1,76.10695594575154
49,Neurology,Hospital,Urban,89.17950457207942,0.24521957838737596,0.5744275972572762,5,1,93.57467779277283
50,Neurology,Private,Urban,134.72231899790063,0.3537959854689051,0.013073619605447284,7,1,133.30083301364093
51,Cardiology,Academic,Semi-Urban,105.62890111443787,0.6385727377056324,0.475218342372429,4,1,110.10208544631102
52,Neurology,Academic,Semi-Urban,105.38741190376768,0.5897554177893252,0.08601363557203567,2,0,108.57600568367839
53,Cardiology,Hospital,Rural,81.2103754374429,0.13677478812133348,0.4289449978103297,7,1,68.14125154297209
54,Neurology,Academic,Semi-Urban,91.50756882566436,0.8449494735661027,0.1096118079986772,4,1,94.42375290571533
55,Endocrinology,Hospital,Urban,136.46243043117005,0.4751889122470154,0.955479806945415,3,1,145.1755565716389
56,Endocrinology,Private,Rural,109.98724492873822,0.16236922452639302,0.5230679574077278,0,0,104.11030728795357
57,Cardiology,Private,Rural,93.2057029671419,0.12282654257472925,0.9132179852766433,3,1,101.40775626717895
58,Endocrinology,Hospital,Semi-Urban,108.81214513939878,0.9655517746451302,0.022366222965765847,4,1,110.6740280476791
59,Endocrinology,Private,Rural,105.35327726422418,0.281535111173546,0.6376532838818979,4,1,106.11458076293923
60,Neurology,Private,Semi-Urban,83.21120692296248,0.9085935879163759,0.3069545019266202,4,1,86.233082390361
61,Cardiology,Hospital,Semi-Urban,92.62383502955852,0.4105852987689389,0.4318289959652363,5,1,102.97389521887895
62,Neurology,Hospital,Rural,145.09072204215732,0.3859214304531903,0.8730873952146897,0,0,145.94321994334229
63,Neurology,Private,Semi-Urban,107.84005166893282,0.700928969649432,0.9800210947587448,2,0,101.56702546179733
64,Neurology,Academic,Semi-Urban,68.61915977380914,0.009883287775461436,0.24649195443335237,3,1,71.34533256820919
65,Neurology,Academic,Semi-Urban,110.20420296492821,0.3380895216303905,0.9482532853533017,2,0,110.4388733846259
66,Neurology,Hospital,Semi-Urban,126.06176546055892,0.3026457121918089,0.6887269488817191,2,0,131.71585963196657
67,Neurology,Hospital,Rural,81.91243639694545,0.8680980942840464,0.9514139143572707,2,0,81.55469072097867
68,Neurology,Academic,Urban,90.8631540663304,0.5291235390207832,0.56236699862121,4,1,98.56555242148949
69,Cardiology,Private,Urban,129.07541909917035,0.3645701572242519,0.9607562849914706,3,1,133.31698153827867
70,Endocrinology,Academic,Semi-Urban,100.6982493765246,0.2660793102997181,0.8924554581474337,2,0,102.68399413008734
71,Neurology,Academic,Semi-Urban,97.1424355441742,0.5905098088106291,0.12859174122544603,2,0,93.46204880767887
72,Neurology,Academic,Semi-Urban,73.27883940243042,0.15167314054336467,0.3107899271017305,1,0,76.12110420198607
73,Neurology,Academic,Urban,121.41132616961734,0.2462047685087816,0.24306319151251188,2,0,131.51753621636
74,Neurology,Hospital,Semi-Urban,96.23061926498745,0.29361216506474974,0.572099326050257,4,1,108.58075493981923
75,Neurology,Hospital,Rural,56.58034129686462,0.607908947606941,0.8027994315059253,1,0,51.025548996696656
76,Neurology,Private,Rural,68.54724970467493,0.37325495901647543,0.7594114468868812,5,1,64.92630864073442
77,Endocrinology,Private,Rural,88.76838769634605,0.5057833001200495,0.7267491322834767,3,1,95.80041668279895
78,Endocrinology,Private,Urban,78.54315413674729,0.6504382637665866,0.37526487573558587,1,0,77.3254049451916
79,Neurology,Private,Semi-Urban,81.68076492600044,0.9562716008076872,0.13963688162782795,4,1,81.00009255132872
80,Endocrinology,Academic,Semi-Urban,146.89339790606863,0.7648373971027523,0.21058355362859926,5,1,160.8132116614109
81,Cardiology,Hospital,Semi-Urban,114.15046027332208,0.4052567805721077,0.7416774596483326,2,0,129.59069607475888
82,Neurology,Hospital,Urban,48.453099540113136,0.7482753743972568,0.14753433905956326,0,0,39.37071193754784
83,Cardiology,Private,Urban,93.71356177558995,0.9496941809192125,0.2229467049335211,4,1,91.762464988387
84,Cardiology,Private,Urban,98.21013185292264,0.4993805456541248,0.4245526528734912,0,0,91.74895937966251
85,Neurology,Academic,Urban,70.46132132126732,0.4104969331228897,0.07211243068746298,2,0,66.33591406899882
86,Endocrinology,Academic,Rural,110.68772611071886,0.07801869900073655,0.2126920607701298,3,1,117.59895296528906
87,Cardiology,Private,Urban,59.172213497201625,0.8923703706508622,0.14976812734123657,6,1,61.880240027175965
88,Neurology,Hospital,Urban,121.93893915540741,0.2464342807936556,0.9513217829118404,3,1,129.5957931038025
89,Cardiology,Hospital,Urban,128.83059963445768,0.06395789681913955,0.19152588554488914,1,0,135.42571431117346
90,Cardiology,Hospital,Semi-Urban,147.05170157914006,0.5372034865910831,0.8617697101703937,4,1,154.66134329441124
91,Cardiology,Private,Semi-Urban,68.51341491534174,0.8458996459615251,0.1147981912666084,2,0,63.79293718627915
92,Cardiology,Hospital,Semi-Urban,72.58205282999728,0.40663505562305247,0.8696731323025073,7,1,80.73674688397318
93,Endocrinology,Academic,Rural,113.85344068505462,0.7830674701590162,0.5994337862734697,7,1,118.67026360410443
94,Cardiology,Academic,Rural,123.65360110131954,0.8363960072839958,0.8497059232246179,2,0,122.81618883871302
95,Cardiology,Private,Urban,116.17905322717144,0.4544035588198637,0.8673486885373575,2,0,112.03950071232225
96,Cardiology,Academic,Semi-Urban,121.5943401438852,0.5909550659404736,0.5963735306674091,3,1,131.15307835208546
97,Endocrinology,Private,Rural,127.53654723930069,0.5339122985389401,0.917694153395024,2,0,130.04896795354307
98,Cardiology,Hospital,Semi-Urban,104.04500791058466,0.9391958616345015,0.585448291484623,1,0,108.25827982629191
99,Cardiology,Hospital,Rural,95.74900173158815,0.7255056850917613,0.7125650778783753,1,0,91.0803798462955
100,Endocrinology,Hospital,Rural,72.63645584149192,0.925342810770113,0.4160804771688327,3,1,82.76441938758047
101,Endocrinology,Academic,Urban,94.03789189568403,0.22000997806197187,0.9140676944709873,3,1,99.01563031904281
102,Endocrinology,Private,Urban,97.10223195338207,0.31023685183267047,0.8241625389120266,5,1,104.91496345899267
103,Cardiology,Hospital,Rural,81.0063085335149,0.07091347318006769,0.16671311161692748,3,1,78.12918478978362
104,Endocrinology,Private,Urban,99.23551597685872,0.4999079566958077,0.5763878502046987,2,0,100.03759806118084
105,Endocrinology,Hospital,Rural,78.75242065841034,0.8739236793859108,0.8968273290869464,4,1,91.63007720374254
106,Cardiology,Academic,Rural,122.26664672694339,0.3268466971307157,0.7930644936589509,3,1,130.16234578558812
107,Endocrinology,Academic,Semi-Urban,108.51648938358319,0.1282821069493315,0.962552780661325,2,0,107.94963774350092
108,Cardiology,Private,Urban,90.80792622323372,0.06844625492905299,0.2313016869475948,4,1,92.89827186033561
109,Neurology,Academic,Urban,103.7768121565217,0.44750027252365454,0.367459633130478,3,1,100.18448597363773
110,Endocrinology,Academic,Urban,77.898204752837,0.1640217446287633,0.5071918880181313,3,1,82.3480996462262
111,Neurology,Private,Semi-Urban,79.92614473761472,0.3461040288851035,0.23266917002726495,4,1,86.68781090886252
112,Cardiology,Hospital,Semi-Urban,87.32290723445554,0.8199798080824369,0.39404525518881905,2,0,89.58292867792947
113,Endocrinology,Academic,Semi-Urban,96.16143859181798,0.38404738275752437,0.5375392044243325,2,0,95.77411277223203
114,Cardiology,Private,Urban,102.82403624978048,0.6098709182563558,0.19133920300134066,3,1,105.37215964995605
115,Neurology,Academic,Urban,102.90312733792011,0.5021600558228149,0.2566878187025806,2,0,102.69924476225368
116,Cardiology,Academic,Urban,73.624446670054,0.7185332929700363,0.12484249980879447,4,1,73.55133586084338
117,Endocrinology,Academic,Semi-Urban,98.38542234215683,0.15616495898756877,0.7133814098857485,5,1,106.2614264826288
118,Endocrinology,Academic,Semi-Urban,83.63889358836892,0.9204410364836187,0.361551926536133,2,0,91.54849597617823
119,Neurology,Private,Rural,31.820665250987318,0.6436327975500353,0.2202661531837884,4,1,35.79874101937405
120,Cardiology,Private,Semi-Urban,161.511710630459,0.27095373158010727,0.5073241491809525,2,0,158.8441491782823
121,Endocrinology,Private,Rural,84.02698548094178,0.12325370813805903,0.06824930568524767,2,0,79.27332938621684
122,Neurology,Academic,Urban,85.13695691710389,0.14972556414619032,0.9234066063183948,1,0,81.86286048111495
123,Endocrinology,Academic,Semi-Urban,73.07127755278816,0.7826629268961081,0.29446752115726427,1,0,83.99266132909021
124,Endocrinology,Academic,Urban,78.85014090605652,0.588110053312958,0.8864643481838621,8,1,91.19021504313937
125,Cardiology,Private,Urban,96.22655370171768,0.38075829071818335,0.497620065324647,8,1,102.65281681953029
126,Endocrinology,Academic,Urban,127.03626648240056,0.33290084618688,0.8501504977106406,1,0,133.42033818788474
127,Cardiology,Hospital,Urban,96.1130265690464,0.8557580044005302,0.2470644407896445,1,0,93.44959706374839
128,Endocrinology,Academic,Semi-Urban,93.5287538153065,0.874762523781461,0.17527060224275304,5,1,102.25785876737491
129,Neurology,Hospital,Urban,124.00547954042776,0.5812620384192929,0.8494118032348283,2,0,129.66079605824225
130,Endocrinology,Academic,Rural,89.51206938929833,0.5245440656650363,0.2129238823717109,4,1,91.71508482399446
131,Cardiology,Private,Semi-Urban,100.42298791151332,0.8164480420765715,0.7461953492995801,2,0,94.50173871153491
132,Cardiology,Academic,Urban,81.56859869574038,0.7493351797943753,0.3445837946596324,3,1,76.30757713559662
133,Neurology,Hospital,Semi-Urban,133.7026700190514,0.40032518332778844,0.7481937264351614,4,1,140.68438856024483
134,Endocrinology,Hospital,Rural,120.97020480071693,0.082738684750857,0.9076462659883302,3,1,123.33237179717469
135,Endocrinology,Academic,Urban,96.94025260933266,0.7685001073627779,0.9816384312872931,2,0,98.59453391101943
136,Neurology,Hospital,Rural,92.01113436258548,0.16870102894024375,0.35980947726863344,5,1,92.94312373408735
137,Endocrinology,Hospital,Urban,99.36321086726522,0.016376906478478337,0.3675258346405462,6,1,93.70315303016595
138,Endocrinology,Private,Rural,97.23234842778399,0.8433026752039908,0.9813877367848546,3,1,113.51789709494886
139,Cardiology,Academic,Urban,69.06360669354653,0.5782538453367186,0.8615281302980383,3,1,67.82854926671241
140,Endocrinology,Academic,Semi-Urban,121.65334902850749,0.8916660355357584,0.04509197191137804,4,1,121.23500979351422
141,Endocrinology,Academic,Urban,95.45724439511228,0.48458808319761804,0.5734499862265204,3,1,97.74222850329076
142,Neurology,Hospital,Semi-Urban,137.9668075209229,0.926481100711403,0.18124477154843832,5,1,142.36685744387012
143,Neurology,Academic,Urban,108.43631421525164,0.35397174797886377,0.9940125360932185,5,1,104.6188903853145
144,Cardiology,Academic,Urban,49.578266997406146,0.7245220023342929,0.1389230123709737,1,0,53.682945745459996
145,Endocrinology,Private,Rural,74.367531003019,0.3009865092617835,0.5593476125428666,3,1,81.39229813015875
146,Endocrinology,Private,Rural,57.07889786563478,0.0011636643279784309,0.6651983700291831,4,1,71.36435329653563
147,Endocrinology,Private,Rural,74.11903891362203,0.37974453454895674,0.9370646546540563,4,1,81.39575624485938
148,Cardiology,Hospital,Urban,67.3279665162124,0.7377655131092388,0.847258311644187,3,1,71.29209341525547
149,Cardiology,Academic,Urban,105.05134980763681,0.15002417944651392,0.245754771327783,3,1,100.1125749259971
150,Neurology,Private,Urban,93.67829316787449,0.504802033207393,0.5726239512925045,4,1,89.69188302822357
151,Cardiology,Private,Semi-Urban,114.81079836057778,0.212321484850715,0.9535739579058833,3,1,119.29282302605785
152,Endocrinology,Private,Semi-Urban,99.23800834652077,0.0746241214191029,0.7357168471049377,0,0,92.65788304294395
153,Endocrinology,Academic,Urban,95.1938186371033,0.6174519819443163,0.6883363483798938,2,0,99.30467940850657
154,Cardiology,Academic,Rural,140.06413898538688,0.951967622303403,0.7549010792811566,3,1,144.554783241464
155,Endocrinology,Academic,Rural,104.45645267717005,0.3107042187179171,0.3225061889878198,5,1,113.14591786087901
156,Endocrinology,Hospital,Rural,98.3897696499485,0.5806458003599504,0.7292522694032362,5,1,105.23575243640438
157,Cardiology,Hospital,Urban,82.93118159863914,0.9536033677507945,0.23285475144691592,6,1,86.60852076517835
158,Cardiology,Private,Rural,76.48172968660745,0.6504833499946875,0.4281027709077534,3,1,75.68083684989394
159,Endocrinology,Academic,Urban,115.41002036784202,0.6731133023099543,0.8899288171885065,1,0,118.64628769442265
160,Endocrinology,Private,Semi-Urban,114.21391995669718,0.1789285115608359,0.01897114649075171,3,1,117.02352729368772
161,Endocrinology,Academic,Rural,131.43157477898,0.4926096788528267,0.4143186502523467,5,1,125.32181536644909
162,Neurology,Academic,Semi-Urban,109.57823186605631,0.36708274708724664,0.26682176673905955,3,1,118.40881004146837
163,Neurology,Academic,Rural,92.13794325120908,0.47095685239103,0.1985896164936094,2,0,96.51176103031928
164,Neurology,Hospital,Urban,110.22020557540634,0.8008265764418772,0.8385754214725123,2,0,106.2553444617783
165,Cardiology,Hospital,Urban,98.39398795592119,0.4606989877460983,0.6964985728449781,5,1,105.94333578399738
166,Neurology,Academic,Urban,117.3077026814754,0.06285067825783508,0.11263272041148176,8,1,113.96468033317421
167,Cardiology,Private,Urban,126.68663653704087,0.905541661150863,0.4944633265011894,4,1,126.64197559027915
168,Cardiology,Academic,Rural,96.62887307232424,0.5448158874519706,0.4669057718271111,2,0,98.38530347578283
169,Neurology,Academic,Semi-Urban,135.14619279629477,0.9244943585302919,0.14252779402940852,3,1,143.5681937751353
170,Neurology,Private,Urban,123.76694535243038,0.5723545120276244,0.7997627009912083,1,0,131.40192123241323
171,Neurology,Academic,Rural,100.35368678862142,0.06963631597506059,0.3666739714541998,7,1,111.18061136622168
172,Endocrinology,Private,Semi-Urban,113.41486550115877,0.5528693935257712,0.7619377751603944,0,0,105.46262618070863
173,Neurology,Hospital,Urban,106.10993773960368,0.5757389324926806,0.19206261508221245,2,0,97.35505056598589
174,Endocrinology,Hospital,Semi-Urban,100.43987985608587,0.2143398793429756,0.3150734616138323,5,1,100.51028093169418
175,Cardiology,Private,Urban,138.2629011294602,0.4710290841043767,0.09517094770266588,2,0,133.75004126391104
176,Endocrinology,Hospital,Semi-Urban,110.35208921981382,0.45944151187365134,0.1434792697456082,2,0,122.70101996084881
177,Neurology,Hospital,Semi-Urban,83.18063278737881,0.6228761490206036,0.8831834903527329,6,1,90.86668132525006
178,Cardiology,Private,Urban,79.44060646142782,0.2596140986739204,0.10911264418557753,5,1,77.71337514968488
179,Cardiology,Hospital,Rural,80.25806159095545,0.5817484179481938,0.0957312072859432,1,0,77.54742225737498
180,Cardiology,Academic,Semi-Urban,109.79009001836347,0.2409520426369428,0.9403773108366599,1,0,110.78398495299874
181,Endocrinology,Academic,Urban,93.16972655361886,0.4464452722039066,0.6459034596607676,1,0,82.57936375884422
182,Neurology,Private,Semi-Urban,106.66587433225556,0.12270569933730702,0.10091598355441944,4,1,112.04817655512308
183,Cardiology,Hospital,Semi-Urban,118.72792569922746,0.037300547861478184,0.9717167390660514,4,1,130.70243481870162
184,Cardiology,Academic,Rural,140.57427060864578,0.3205873059917339,0.14710001050329713,5,1,133.6996675022232
185,Cardiology,Academic,Semi-Urban,93.63053532623286,0.2745717506497415,0.766345725285428,1,0,96.54363589903402
186,Endocrinology,Hospital,Semi-Urban,71.82898785333539,0.4069359120313467,0.034851361639586464,5,1,75.46157808504859
187,Endocrinology,Hospital,Urban,135.84804130661453,0.9619826200003397,0.6245417973398115,4,1,142.51588939012262
188,Neurology,Academic,Urban,70.85798355361857,0.5222292947703284,0.5467038721028958,2,0,73.46222267235858
189,Endocrinology,Academic,Rural,70.07142585088417,0.5531767061367565,0.20800381042530114,6,1,67.45969023316039
190,Cardiology,Private,Semi-Urban,135.32900519933796,0.9416010387873742,0.6431461427204163,2,0,134.63961699543324
191,Neurology,Private,Semi-Urban,121.32463055474959,0.9211471375918331,0.6170529931773886,3,1,131.526574439086
192,Cardiology,Academic,Semi-Urban,109.69680682452363,0.8841119539004179,0.7983517154639768,4,1,107.89598576634361
193,Cardiology,Private,Rural,99.00158005093053,0.09799474202971303,0.8758740586004453,3,1,104.23762867369973
194,Endocrinology,Academic,Semi-Urban,95.21591965209493,0.6342974105203304,0.510104940653566,2,0,98.07017840050774
195,Neurology,Academic,Urban,86.98347950011322,0.8080989804935118,0.4902951934841613,4,1,88.06116111277522
196,Endocrinology,Private,Rural,94.33913651449168,0.8355746895770949,0.6215957709446978,1,0,96.70773226039636
197,Endocrinology,Private,Urban,99.05169237938556,0.5779071425018961,0.7292075892298131,1,0,99.2513395100337
198,Neurology,Hospital,Urban,72.51100216121156,0.017495547486169105,0.3561711724418746,0,0,71.42516364036575
199,Cardiology,Hospital,Rural,83.59542968055088,0.9737129016417351,0.5046418833662284,1,0,81.45675812287323
200,Cardiology,Hospital,Urban,57.761635022716085,0.4721967027581214,0.5851041858231734,2,0,64.13628308226693
201,Neurology,Academic,Semi-Urban,101.55854904200626,0.3935958952735982,0.9883780838359111,3,1,107.0929723386572
202,Cardiology,Private,Rural,101.56202402168654,0.39494871367726303,0.5877121964559167,6,1,101.40622379899558
203,Neurology,Academic,Urban,135.5703087253036,0.4241508800582665,0.22418655074225668,3,1,129.63706407887997
204,Neurology,Private,Semi-Urban,107.51109844065118,0.242180718172753,0.5879898582402607,2,0,99.9516410129609
205,Endocrinology,Academic,Semi-Urban,88.87915866169243,0.3273336257498298,0.8194995829490181,3,1,86.70448072482651
206,Neurology,Hospital,Urban,95.99289996600534,0.9853576097747392,0.8574036800111908,1,0,93.71122804342365
207,Endocrinology,Hospital,Semi-Urban,109.73644625022203,0.3681680002560942,0.8002504545930117,3,1,114.1948594188715
208,Cardiology,Hospital,Rural,104.55225253090003,0.526725016473789,0.8882094152888419,2,0,103.00458157376923
209,Cardiology,Academic,Urban,111.56571838423196,0.8482942659752185,0.33476634187912746,1,0,107.39021365925387
210,Cardiology,Private,Semi-Urban,107.5408954707587,0.5274278111088635,0.507570620952662,4,1,108.93674452451019
211,Cardiology,Private,Semi-Urban,94.94711469619999,0.3244534216181676,0.779591096007544,3,1,103.17201648349037
212,Endocrinology,Hospital,Urban,89.28413417854001,0.5237509769185301,0.2644499507590984,3,1,95.31564542494866
213,Cardiology,Hospital,Urban,88.20875592080068,0.11408631043909745,0.37158143785170106,2,0,96.70228826183393
214,Neurology,Hospital,Urban,81.49457430755882,0.13000695523276984,0.831155654556012,3,1,84.23936766239794
215,Neurology,Hospital,Urban,78.35761432450948,0.6941075322306689,0.7700856496204832,3,1,88.88827536272798
216,Neurology,Private,Rural,136.76927861724948,0.9174606572597457,0.971199567916089,1,0,137.50639577620066
217,Endocrinology,Academic,Urban,102.49420303292112,0.7256781334885183,0.9959740585146502,6,1,114.84055842444513
218,Cardiology,Academic,Rural,96.8939709778333,0.0746132406573572,0.24074454697137904,7,1,101.26287188304441
219,Cardiology,Academic,Rural,90.08231367654187,0.4028956110310057,0.9004499861736733,2,0,90.30232009901293
220,Cardiology,Academic,Urban,108.57758218661866,0.0025535882680637334,0.09451550135006914,4,1,97.10659158672564
221,Endocrinology,Hospital,Rural,124.07327772112146,0.5112067433256329,0.7098002089640555,4,1,128.4118454574559
222,Neurology,Hospital,Urban,114.4652895251148,0.19320448488185138,0.22009938767555093,3,1,110.09171216133488
223,Neurology,Hospital,Urban,118.4317817462302,0.8681466487286567,0.3003111569225627,6,1,118.70665693830763
224,Cardiology,Academic,Semi-Urban,88.26942435632043,0.1043350528690824,0.9463211776645418,4,1,99.58541474398305
225,Neurology,Hospital,Urban,99.91741516433241,0.0014333986470304039,0.2631512367342119,1,0,102.04127990705929
226,Neurology,Hospital,Semi-Urban,88.5324377628208,0.4511460431137604,0.6731778691606303,1,0,93.55390410136528
227,Endocrinology,Private,Rural,102.14062797606485,0.15543330392573917,0.17812850786325618,1,0,105.0009143216156
228,Endocrinology,Private,Semi-Urban,125.4518201611642,0.7379863822751617,0.09338997757048761,1,0,120.63422523009207
229,Endocrinology,Hospital,Rural,108.78807689807684,0.919934731781395,0.33931702534386443,7,1,122.89308245640862
230,Endocrinology,Private,Urban,132.53428731992102,0.04193801430256716,0.6241961007894813,7,1,132.91996561647363
231,Cardiology,Private,Rural,94.22952779099717,0.3955821119160967,0.24794514375408117,1,0,99.42615745024948
232,Endocrinology,Hospital,Rural,83.86077891965905,0.9968149760709497,0.300168798671674,1,0,92.01199711379803
233,Neurology,Hospital,Urban,110.24256973388559,0.7326719700006685,0.7087298186064551,2,0,103.44104799723559
234,Cardiology,Hospital,Rural,102.37716726445638,0.9531876437058071,0.10279602298136903,1,0,101.91658739789042
235,Neurology,Hospital,Urban,106.45404506329335,0.16408328521615556,0.44690509180350746,1,0,109.94388046157422
236,Neurology,Academic,Semi-Urban,103.46440325932996,0.22136855949195355,0.9417345298822242,2,0,102.06425422815701
237,Neurology,Academic,Urban,90.31131253297048,0.15481124059682594,0.396971662414225,6,1,104.44653323640257
238,Endocrinology,Hospital,Urban,103.9147209554,0.30236903377593827,0.4342010279774393,3,1,106.32886595256923
239,Endocrinology,Private,Rural,119.46741071658342,0.7243840683290519,0.738204303607289,3,1,128.42879555751145
240,Cardiology,Hospital,Semi-Urban,121.52215415803909,0.1649466607581882,0.7790115220328468,3,1,135.08848053122773
241,Cardiology,Hospital,Urban,90.20966801629257,0.5242340378832885,0.7696063897805245,3,1,86.72802530983141
242,Endocrinology,Private,Semi-Urban,104.6201186346097,0.26920991911439807,0.9978670249135722,6,1,108.21409997523436
243,Neurology,Academic,Semi-Urban,129.54222165763176,0.8291957791369153,0.07145108748705731,4,1,127.59322310258266
244,Cardiology,Hospital,Rural,90.64218501880951,0.006592405338939011,0.9822532846329993,3,1,97.73489970777095
245,Endocrinology,Hospital,Urban,87.01107201134897,0.2231149585386668,0.9501896169973988,4,1,98.61396265502329
246,Endocrinology,Academic,Rural,115.88805927937742,0.605240757572182,0.8521389002595581,2,0,110.65746275660973
247,Endocrinology,Academic,Urban,112.37918413960958,0.09671050197384257,0.4541255758520417,3,1,105.88511993824382
248,Neurology,Private,Semi-Urban,83.26047836535778,0.4663122159459896,0.8709023716339244,2,0,84.15756164426985
249,Endocrinology,Academic,Urban,72.01078806084976,0.43620729648236967,0.22083241230609518,4,1,79.221040522771
250,Endocrinology,Academic,Urban,104.23112204592694,0.8525230068217636,0.7916558353878302,6,1,104.8033444764401
